,YEAR,COUNTY,ZIP,NGROUP,AVG_WAGE
0,1989.0,29097.0,64804.0,1.0,36973.085103184
1,1989.0,29097.0,64804.0,2.0,36973.085103184
2,1989.0,29097.0,64804.0,3.0,34816.87150941
3,1989.0,29097.0,64804.0,4.0,37620.36145925
4,1989.0,29097.0,64804.0,5.0,43221.157189923
5,1989.0,29097.0,64804.0,6.0,34816.87150941
6,1989.0,29097.0,64804.0,7.0,34816.87150941
7,1989.0,29097.0,64804.0,8.0,34816.87150941
8,1989.0,29097.0,64804.0,9.0,40780.471821827
9,1989.0,29097.0,64804.0,10.0,38659.301852426004
10,1989.0,29097.0,64804.0,11.0,33559.42381132
11,1989.0,29097.0,64804.0,12.0,38886.054716016
12,1989.0,29097.0,64804.0,13.0,38886.054716016
13,1989.0,29097.0,64804.0,14.0,38886.054716016
14,1989.0,29097.0,64804.0,15.0,41512.265154322005
15,1989.0,29097.0,64804.0,16.0,41512.265154322005
16,1989.0,29097.0,64804.0,17.0,13710.302688519
17,1989.0,29097.0,64804.0,18.0,13710.302688519
18,1989.0,29097.0,64804.0,19.0,24070.847164912997
19,1989.0,29097.0,64804.0,20.0,24070.847164912997
20,1989.0,20155.0,67501.0,1.0,39337.499053527004
21,1989.0,20155.0,67501.0,2.0,39337.499053527004
22,1989.0,20155.0,67501.0,3.0,39920.872329854
23,1989.0,20155.0,67501.0,4.0,37552.335600173
24,1989.0,20155.0,67501.0,5.0,48747.742892512004
25,1989.0,20155.0,67501.0,6.0,39920.872329854
26,1989.0,20155.0,67501.0,7.0,39920.872329854
27,1989.0,20155.0,67501.0,8.0,39920.872329854
28,1989.0,20155.0,67501.0,9.0,44862.023366447
29,1989.0,20155.0,67501.0,10.0,42468.749960738
30,1989.0,20155.0,67501.0,11.0,35822.829667882004
31,1989.0,20155.0,67501.0,12.0,42310.022956225
32,1989.0,20155.0,67501.0,13.0,42310.022956225
33,1989.0,20155.0,67501.0,14.0,42310.022956225
34,1989.0,20155.0,67501.0,15.0,41252.530056028
35,1989.0,20155.0,67501.0,16.0,41252.530056028
36,1989.0,20155.0,67501.0,17.0,13726.793805871
37,1989.0,20155.0,67501.0,18.0,13726.793805871
38,1989.0,20155.0,67501.0,19.0,24701.632403627
39,1989.0,20155.0,67501.0,20.0,24701.632403627
40,1989.0,20155.0,67502.0,1.0,39337.499053527004
41,1989.0,20155.0,67502.0,2.0,39337.499053527004
42,1989.0,20155.0,67502.0,3.0,39920.872329854
43,1989.0,20155.0,67502.0,4.0,37552.335600173
44,1989.0,20155.0,67502.0,5.0,48747.742892512004
45,1989.0,20155.0,67502.0,6.0,39920.872329854
46,1989.0,20155.0,67502.0,7.0,39920.872329854
47,1989.0,20155.0,67502.0,8.0,39920.872329854
48,1989.0,20155.0,67502.0,9.0,44862.023366447
49,1989.0,20155.0,67502.0,10.0,42468.749960738
50,1989.0,20155.0,67502.0,11.0,35822.829667882004
51,1989.0,20155.0,67502.0,12.0,42310.022956225
52,1989.0,20155.0,67502.0,13.0,42310.022956225
53,1989.0,20155.0,67502.0,14.0,42310.022956225
54,1989.0,20155.0,67502.0,15.0,41252.530056028
55,1989.0,20155.0,67502.0,16.0,41252.530056028
56,1989.0,20155.0,67502.0,17.0,13726.793805871
57,1989.0,20155.0,67502.0,18.0,13726.793805871
58,1989.0,20155.0,67502.0,19.0,24701.632403627
59,1989.0,20155.0,67502.0,20.0,24701.632403627
60,1989.0,20155.0,67505.0,1.0,39337.499053527004
61,1989.0,20155.0,67505.0,2.0,39337.499053527004
62,1989.0,20155.0,67505.0,3.0,39920.872329854
63,1989.0,20155.0,67505.0,4.0,37552.335600173
64,1989.0,20155.0,67505.0,5.0,48747.742892512004
65,1989.0,20155.0,67505.0,6.0,39920.872329854
66,1989.0,20155.0,67505.0,7.0,39920.872329854
67,1989.0,20155.0,67505.0,8.0,39920.872329854
68,1989.0,20155.0,67505.0,9.0,44862.023366447
69,1989.0,20155.0,67505.0,10.0,42468.749960738
70,1989.0,20155.0,67505.0,11.0,35822.829667882004
71,1989.0,20155.0,67505.0,12.0,42310.022956225
72,1989.0,20155.0,67505.0,13.0,42310.022956225
73,1989.0,20155.0,67505.0,14.0,42310.022956225
74,1989.0,20155.0,67505.0,15.0,41252.530056028
75,1989.0,20155.0,67505.0,16.0,41252.530056028
76,1989.0,20155.0,67505.0,17.0,13726.793805871
77,1989.0,20155.0,67505.0,18.0,13726.793805871
78,1989.0,20155.0,67505.0,19.0,24701.632403627
79,1989.0,20155.0,67505.0,20.0,24701.632403627
80,1989.0,20155.0,67510.0,1.0,39337.499053527004
81,1989.0,20155.0,67510.0,2.0,39337.499053527004
82,1989.0,20155.0,67510.0,3.0,39920.872329854
83,1989.0,20155.0,67510.0,4.0,37552.335600173
84,1989.0,20155.0,67510.0,5.0,48747.742892512004
85,1989.0,20155.0,67510.0,6.0,39920.872329854
86,1989.0,20155.0,67510.0,7.0,39920.872329854
87,1989.0,20155.0,67510.0,8.0,39920.872329854
88,1989.0,20155.0,67510.0,9.0,44862.023366447
89,1989.0,20155.0,67510.0,10.0,42468.749960738
90,1989.0,20155.0,67510.0,11.0,35822.829667882004
91,1989.0,20155.0,67510.0,12.0,42310.022956225
92,1989.0,20155.0,67510.0,13.0,42310.022956225
93,1989.0,20155.0,67510.0,14.0,42310.022956225
94,1989.0,20155.0,67510.0,15.0,41252.530056028
95,1989.0,20155.0,67510.0,16.0,41252.530056028
96,1989.0,20155.0,67510.0,17.0,13726.793805871
97,1989.0,20155.0,67510.0,18.0,13726.793805871
98,1989.0,20155.0,67510.0,19.0,24701.632403627
99,1989.0,20155.0,67510.0,20.0,24701.632403627
100,1989.0,20047.0,67519.0,1.0,30446.72541113
101,1989.0,20047.0,67519.0,2.0,30446.72541113
102,1989.0,20047.0,67519.0,3.0,34252.050740104
103,1989.0,20047.0,67519.0,4.0,37051.417910606004
104,1989.0,20047.0,67519.0,5.0,33792.360843917
105,1989.0,20047.0,67519.0,6.0,34252.050740104
106,1989.0,20047.0,67519.0,7.0,34252.050740104
107,1989.0,20047.0,67519.0,8.0,34252.050740104
108,1989.0,20047.0,67519.0,9.0,30446.72541113
109,1989.0,20047.0,67519.0,10.0,37408.038323343
110,1989.0,20047.0,67519.0,11.0,28649.193619762
111,1989.0,20047.0,67519.0,12.0,24128.566075645
112,1989.0,20047.0,67519.0,13.0,24128.566075645
113,1989.0,20047.0,67519.0,14.0,24128.566075645
114,1989.0,20047.0,67519.0,15.0,23654.446451775
115,1989.0,20047.0,67519.0,16.0,23654.446451775
116,1989.0,20047.0,67519.0,17.0,9874.05651451
117,1989.0,20047.0,67519.0,18.0,9874.05651451
118,1989.0,20047.0,67519.0,19.0,30446.72541113
119,1989.0,20047.0,67519.0,20.0,30446.72541113
120,1989.0,20155.0,67522.0,1.0,39337.499053527004
121,1989.0,20155.0,67522.0,2.0,39337.499053527004
122,1989.0,20155.0,67522.0,3.0,39920.872329854
123,1989.0,20155.0,67522.0,4.0,37552.335600173
124,1989.0,20155.0,67522.0,5.0,48747.742892512004
125,1989.0,20155.0,67522.0,6.0,39920.872329854
126,1989.0,20155.0,67522.0,7.0,39920.872329854
127,1989.0,20155.0,67522.0,8.0,39920.872329854
128,1989.0,20155.0,67522.0,9.0,44862.023366447
129,1989.0,20155.0,67522.0,10.0,42468.749960738
130,1989.0,20155.0,67522.0,11.0,35822.829667882004
131,1989.0,20155.0,67522.0,12.0,42310.022956225
132,1989.0,20155.0,67522.0,13.0,42310.022956225
133,1989.0,20155.0,67522.0,14.0,42310.022956225
134,1989.0,20155.0,67522.0,15.0,41252.530056028
135,1989.0,20155.0,67522.0,16.0,41252.530056028
136,1989.0,20155.0,67522.0,17.0,13726.793805871
137,1989.0,20155.0,67522.0,18.0,13726.793805871
138,1989.0,20155.0,67522.0,19.0,24701.632403627
139,1989.0,20155.0,67522.0,20.0,24701.632403627
140,1989.0,20145.0,67529.0,1.0,34678.758401587
141,1989.0,20145.0,67529.0,2.0,34678.758401587
142,1989.0,20145.0,67529.0,3.0,32998.725821352
143,1989.0,20145.0,67529.0,4.0,34678.758401587
144,1989.0,20145.0,67529.0,5.0,34678.758401587
145,1989.0,20145.0,67529.0,6.0,32998.725821352
146,1989.0,20145.0,67529.0,7.0,32998.725821352
147,1989.0,20145.0,67529.0,8.0,32998.725821352
148,1989.0,20145.0,67529.0,9.0,34678.758401587
149,1989.0,20145.0,67529.0,10.0,43800.407686912
150,1989.0,20145.0,67529.0,11.0,28620.334164396
151,1989.0,20145.0,67529.0,12.0,30790.977485852996
152,1989.0,20145.0,67529.0,13.0,30790.977485852996
153,1989.0,20145.0,67529.0,14.0,30790.977485852996
154,1989.0,20145.0,67529.0,15.0,26466.181960291
155,1989.0,20145.0,67529.0,16.0,26466.181960291
156,1989.0,20145.0,67529.0,17.0,12304.434934261
157,1989.0,20145.0,67529.0,18.0,12304.434934261
158,1989.0,20145.0,67529.0,19.0,34678.758401587
159,1989.0,20145.0,67529.0,20.0,34678.758401587
160,1989.0,20155.0,67543.0,1.0,39337.499053527004
161,1989.0,20155.0,67543.0,2.0,39337.499053527004
162,1989.0,20155.0,67543.0,3.0,39920.872329854
163,1989.0,20155.0,67543.0,4.0,37552.335600173
164,1989.0,20155.0,67543.0,5.0,48747.742892512004
165,1989.0,20155.0,67543.0,6.0,39920.872329854
166,1989.0,20155.0,67543.0,7.0,39920.872329854
167,1989.0,20155.0,67543.0,8.0,39920.872329854
168,1989.0,20155.0,67543.0,9.0,44862.023366447
169,1989.0,20155.0,67543.0,10.0,42468.749960738
170,1989.0,20155.0,67543.0,11.0,35822.829667882004
171,1989.0,20155.0,67543.0,12.0,42310.022956225
172,1989.0,20155.0,67543.0,13.0,42310.022956225
173,1989.0,20155.0,67543.0,14.0,42310.022956225
174,1989.0,20155.0,67543.0,15.0,41252.530056028
175,1989.0,20155.0,67543.0,16.0,41252.530056028
176,1989.0,20155.0,67543.0,17.0,13726.793805871
177,1989.0,20155.0,67543.0,18.0,13726.793805871
178,1989.0,20155.0,67543.0,19.0,24701.632403627
