,YEAR,COUNTY,COLLEGE_COMP,HIGHSCHOOL_COMP,UNEMPLOYMENT_RATE,NAIRPORTS,LAND_AREA,MED_INC,MED_RENT,HOME_OWNERSHIP
0,1989.0,29145.0,12.1,34.5,6.7,1.0,626.5,46884.246631735994,430.83044082099997,76.9
1,1989.0,29097.0,13.4,33.5,5.4,1.0,639.8,44410.579028935994,461.751285856,69.3
2,1989.0,20205.0,11.4,38.2,4.4,2.0,573.9,42252.304045493,325.699567702,77.7
3,1989.0,20185.0,16.5,33.8,2.3,2.0,792.1,43111.903537466,323.638178033,75.7
4,1989.0,20173.0,22.2,32.0,4.2,22.0,1000.2,62862.077956155,622.539680038,63.7
5,1989.0,20155.0,14.9,31.9,4.4,4.0,1254.5,53200.344577552,472.058234201,69.9
6,1989.0,20145.0,16.7,33.5,2.1,2.0,754.2,53439.465779155995,406.09376479300005,71.3
7,1989.0,20133.0,11.5,34.2,4.5,3.0,571.9,46760.563251595995,368.988750751,74.8
8,1989.0,20125.0,13.6,30.9,6.0,4.0,645.3,45451.580811780994,391.66403711,72.3
9,1989.0,20099.0,12.1,32.4,7.0,1.0,648.9,47133.674781685,385.47986810300006,73.3
10,1989.0,20093.0,12.5,29.1,2.6,3.0,870.0,69287.429554428,521.531586257,69.4
11,1989.0,20083.0,17.3,37.2,1.4,1.0,860.0,50699.878909055,319.515398695,81.0
12,1989.0,20079.0,20.3,33.9,3.1,4.0,539.4,58151.80256249,472.058234201,68.4
13,1989.0,20075.0,12.9,32.8,1.0,1.0,996.5,53497.184689887996,406.09376479300005,70.8
14,1989.0,20073.0,10.4,42.5,4.7,4.0,1139.8,41675.114938173,317.454009026,74.2
15,1989.0,20069.0,12.6,29.7,2.1,3.0,868.9,55131.866697405,418.46210280699995,72.4
16,1989.0,20057.0,18.1,28.2,2.9,2.0,1098.6,52227.368653784004,540.0840932780001,64.9
17,1989.0,20055.0,14.4,26.9,3.0,2.0,1300.2,59040.261509829004,618.4169007,61.5
18,1989.0,20049.0,10.5,36.1,3.7,1.0,647.9,35752.742419136004,224.69147392099998,80.0
19,1989.0,20047.0,13.1,36.8,2.1,1.0,622.1,48360.20163474,323.638178033,75.3
20,1989.0,20037.0,18.7,30.5,6.4,2.0,593.0,42252.304045493,424.646271814,67.5
21,1989.0,20021.0,10.3,38.3,7.8,1.0,587.2,41211.302262648,336.006516047,76.5
22,1989.0,20015.0,17.0,34.1,3.4,10.0,1428.2,63878.343062972,498.85629989800003,75.4
23,1989.0,8099.0,12.2,31.1,5.6,3.0,1640.5,45447.458032443,401.970985455,65.5
24,1990.0,29145.0,12.1,34.5,6.7,1.0,626.5,44482.20744019999,408.757534075,76.9
25,1990.0,29097.0,13.4,33.5,5.4,1.0,639.8,42135.2742302,438.09419919999993,69.3
26,1990.0,20205.0,11.4,38.2,4.4,2.0,573.9,40087.575004475,309.01287265,77.7
27,1990.0,20185.0,16.5,33.8,2.3,2.0,792.1,40903.13429495,307.057094975,75.7
28,1990.0,20173.0,22.2,32.0,4.2,22.0,1000.2,59641.440199125,590.64485785,63.7
29,1990.0,20155.0,14.9,31.9,4.4,4.0,1254.5,50474.7102364,447.873087575,69.9
30,1990.0,20145.0,16.7,33.5,2.1,2.0,754.2,50701.5804467,385.288201975,71.3
31,1990.0,20133.0,11.5,34.2,4.5,3.0,571.9,44364.8607797,350.084203825,74.8
32,1990.0,20125.0,13.6,30.9,6.0,4.0,645.3,43122.941956075,371.59775825,72.3
33,1990.0,20099.0,12.1,32.4,7.0,1.0,648.9,44718.856538875,365.730425225,73.3
34,1990.0,20093.0,12.5,29.1,2.6,3.0,870.0,65737.59921209999,494.811751775,69.4
35,1990.0,20083.0,17.3,37.2,1.4,1.0,860.0,48102.351916625,303.145539625,81.0
36,1990.0,20079.0,20.3,33.9,3.1,4.0,539.4,55172.48821175,447.873087575,68.4
37,1990.0,20075.0,12.9,32.8,1.0,1.0,996.5,50756.3422216,385.288201975,70.8
38,1990.0,20073.0,10.4,42.5,4.7,4.0,1139.8,39539.957255475,301.18976195,74.2
39,1990.0,20069.0,12.6,29.7,2.1,3.0,868.9,52307.273917875,397.022868025,72.4
40,1990.0,20057.0,18.1,28.2,2.9,2.0,1098.6,49551.583173800005,512.41375085,64.9
41,1990.0,20055.0,14.4,26.9,3.0,2.0,1300.2,56015.428389675,586.7333025,61.5
42,1990.0,20049.0,10.5,36.1,3.7,1.0,647.9,33921.0079952,213.179766575,80.0
43,1990.0,20047.0,13.1,36.8,2.1,1.0,622.1,45882.5442555,307.057094975,75.3
44,1990.0,20037.0,18.7,30.5,6.4,2.0,593.0,40087.575004475,402.89020105,67.5
45,1990.0,20021.0,10.3,38.3,7.8,1.0,587.2,39099.9072786,318.791761025,76.5
46,1990.0,20015.0,17.0,34.1,3.4,11.0,1428.2,60605.6385929,473.29819735,75.4
47,1990.0,8099.0,12.2,31.1,5.6,3.0,1640.5,43119.030400725,381.376646625,65.5
48,1991.0,29145.0,12.1,34.5,6.6,1.0,626.5,42689.25857308,392.281702505,76.9
49,1991.0,29097.0,13.4,33.5,5.5,1.0,639.8,40436.92343908,420.43589168,69.3
50,1991.0,20205.0,11.4,38.2,6.7,2.0,573.9,38471.761034665,296.55745931,77.7
51,1991.0,20185.0,16.5,33.8,2.6,2.0,792.1,39254.44749373,294.680513365,75.7
52,1991.0,20173.0,22.2,32.0,4.2,22.0,1000.2,57237.466592775,566.83767539,63.7
53,1991.0,20155.0,14.9,31.9,5.0,4.0,1254.5,48440.22094856,429.820621405,69.9
54,1991.0,20145.0,16.7,33.5,2.5,2.0,754.2,48657.94667818,369.758351165,71.3
55,1991.0,20133.0,11.5,34.2,4.9,3.0,571.9,42576.64181638,335.973324155,74.8
56,1991.0,20125.0,13.6,30.9,6.4,4.0,645.3,41384.781141305,356.61972955,72.3
57,1991.0,20099.0,12.1,32.4,6.0,1.0,648.9,42916.369032425,350.988891715,73.3
58,1991.0,20093.0,12.5,29.1,1.9,3.0,870.0,63087.90710334,474.867324085,69.4
59,1991.0,20083.0,17.3,37.2,1.3,1.0,860.0,46163.485517275,290.926621475,81.0
60,1991.0,20079.0,20.3,33.9,3.3,4.0,539.4,52948.64510845,429.820621405,68.4
61,1991.0,20075.0,12.9,32.8,1.4,1.0,996.5,48710.50116464,369.758351165,70.8
62,1991.0,20073.0,10.4,42.5,4.5,4.0,1139.8,37946.216170065,289.04967553,74.2
63,1991.0,20069.0,12.6,29.7,2.2,3.0,868.9,50198.91929902499,381.020026835,72.4
64,1991.0,20057.0,18.1,28.2,2.7,2.0,1098.6,47554.30246252,491.75983759,64.9
65,1991.0,20055.0,14.4,26.9,2.8,2.0,1300.2,53757.608810745,563.0837835,61.5
66,1991.0,20049.0,10.5,36.1,4.7,1.0,647.9,32553.75047008,204.587108005,80.0
67,1991.0,20047.0,13.1,36.8,2.8,1.0,622.1,44033.1518697,294.680513365,75.3
68,1991.0,20037.0,18.7,30.5,5.5,2.0,593.0,38471.761034665,386.65086467,67.5
69,1991.0,20021.0,10.3,38.3,7.3,1.0,587.2,37523.90333244,305.942189035,76.5
70,1991.0,20015.0,17.0,34.1,3.5,14.0,1428.2,58162.80094366,454.22091869,75.4
71,1991.0,8099.0,12.2,31.1,5.9,3.0,1640.5,41381.027249415,366.004459275,65.5
72,1992.0,29145.0,12.1,34.5,7.1,1.0,626.5,41445.882121047995,380.85602195300004,76.9
73,1992.0,29097.0,13.4,33.5,5.5,4.0,639.8,39259.148980647995,408.19018620800006,69.3
74,1992.0,20205.0,11.4,38.2,5.8,2.0,573.9,37351.224315649,287.919863486,77.7
75,1992.0,20185.0,16.5,33.8,2.7,2.0,792.1,38111.114081938,286.097585869,75.7
76,1992.0,20173.0,22.2,32.0,4.5,22.0,1000.2,55570.355930415,550.3278403339999,63.7
77,1992.0,20155.0,14.9,31.9,4.9,4.0,1254.5,47029.340739536,417.30157429300004,69.9
78,1992.0,20145.0,16.7,33.5,3.0,2.0,754.2,47240.724943108,358.98869054899995,71.3
79,1992.0,20133.0,11.5,34.2,4.9,3.0,571.9,41336.545464028,326.187693443,74.8
